date,identifiant,longitude,latitude,altitude,duree,distance,vitesse,distance_cum
24/09/2021,1,4.862560995,45.7794445,216.8,366,28.27653866,16.9659232,1230.551539
24/09/2021,1,4.862384793,45.7794651,216.5,372,13.85535059,8.313210355,1244.40689
24/09/2021,1,4.86222823,45.77951958,216.2,378,13.56877504,8.141265027,1257.975665
24/09/2021,1,4.861948641,45.77955121,215.8,384,21.96557443,13.17934466,1279.941239
24/09/2021,1,4.861638361,45.77957507,215.5,390,24.20794253,14.52476552,1304.149182
24/09/2021,1,4.86141309,45.77960051,215.2,396,17.69722295,10.61833377,1321.846405
24/09/2021,1,4.861156327,45.77961581,215,402,19.98450033,11.9907002,1341.830905
24/09/2021,1,4.860907872,45.77963152,214.8,408,19.34677956,11.60806774,1361.177685
24/09/2021,1,4.860673245,45.77963214,214.6,414,18.19540927,10.91724556,1379.373094
24/09/2021,1,4.860361204,45.77964489,214.4,420,24.23993952,14.54396371,1403.613033
24/09/2021,1,4.860109461,45.77963001,214.3,426,19.59258478,11.75555087,1423.205618
24/09/2021,1,4.859937462,45.77966839,214.2,432,14.0041632,8.402497922,1437.209781
24/09/2021,1,4.859819021,45.77970053,214.1,438,9.855454544,5.913272726,1447.065236
24/09/2021,1,4.859669768,45.77972812,214.1,444,11.97427309,7.184563856,1459.039509
24/09/2021,1,4.85961591,45.77975831,214.1,450,5.358590916,3.21515455,1464.3981
24/09/2021,1,4.859617093,45.77975873,214.1,456,0.134258785,0.080555271,1464.532359
24/09/2021,1,4.859638444,45.77977107,214.2,462,2.148140575,1.288884345,1466.680499
24/09/2021,1,4.859429688,45.77971478,214.3,468,17.35655088,10.41393053,1484.03705
24/09/2021,1,4.859233511,45.77971804,214.4,474,15.21750937,9.13050562,1499.25456
24/09/2021,1,4.859083206,45.77979281,214.6,480,14.31730053,8.590380317,1513.57186
24/09/2021,1,4.858809954,45.77996749,214.8,486,28.74580625,17.24748375,1542.317666
24/09/2021,1,4.858753122,45.7801393,215.1,492,19.60615027,11.76369016,1561.923817
24/09/2021,1,4.858776656,45.78029703,215.4,498,17.63293785,10.57976271,1579.556754
24/09/2021,1,4.858757016,45.78050749,215.6,504,23.45209322,14.07125593,1603.008848
24/09/2021,1,4.858754842,45.78071236,215.9,510,22.78091116,13.6685467,1625.789759
24/09/2021,1,4.858742487,45.78088787,216.2,516,19.53868993,11.72321396,1645.328449
24/09/2021,1,4.858697256,45.78109589,216.5,522,23.39533985,14.03720391,1668.723789
24/09/2021,1,4.858669863,45.7812686,216.8,528,19.3220737,11.59324422,1688.045862
24/09/2021,1,4.858680895,45.78144149,217,534,19.24378534,11.5462712,1707.289648
24/09/2021,1,4.858677846,45.78162508,217.2,540,20.41484197,12.24890518,1727.70449
24/09/2021,1,4.858642593,45.78190239,217.4,546,30.95676888,18.57406133,1758.661259
24/09/2021,1,4.858728792,45.78200314,217.5,552,13.04522922,7.82713753,1771.706488
24/09/2021,1,4.858786437,45.78214372,217.6,558,16.25806822,9.754840934,1787.964556
24/09/2021,1,4.858812306,45.78236462,217.7,564,24.6451741,14.78710446,1812.60973
