date;identifiant;longitude;latitude;altitude;duree;distance;vitesse;distance_cum
07/04/2020;1;7,264535768;43,71807915;91,9;426;16,75332324;10,05199395;1341,896572
07/04/2020;1;7,264416823;43,71794215;90,9;432;17,98466472;10,79079883;1359,881237
07/04/2020;1;7,264342778;43,71777232;90,1;438;19,79964347;11,87978608;1379,68088
07/04/2020;1;7,264201183;43,7175629;89,3;444;25,9182057;15,55092342;1405,599086
07/04/2020;1;7,264136019;43,7174276;88,6;450;15,92990538;9,557943226;1421,528991
07/04/2020;1;7,264071861;43,71723382;88;456;22,1559542;13,29357252;1443,684946
07/04/2020;1;7,263979389;43,71706004;87,4;462;20,70329684;12,42197811;1464,388242
07/04/2020;1;7,263893749;43,71681513;86,8;468;28,08913921;16,85348353;1492,477382
07/04/2020;1;7,263803806;43,71665094;86,3;474;19,63577775;11,78146665;1512,113159
07/04/2020;1;7,26374249;43,71653105;85,8;480;14,21241972;8,527451835;1526,325579
07/04/2020;1;7,263613252;43,71642349;85,3;486;15,84082997;9,504497981;1542,166409
07/04/2020;1;7,263422706;43,71629573;84,7;492;20,888786;12,5332716;1563,055195
07/04/2020;1;7,263312644;43,71602444;84,2;498;31,43605754;18,86163452;1594,491253
07/04/2020;1;7,263310181;43,71584709;83,7;504;19,72142292;11,83285375;1614,212675
07/04/2020;1;7,263440307;43,71572178;83,2;510;17,42237317;10,4534239;1631,635049
07/04/2020;1;7,2637123;43,71577259;82,7;516;22,578041;13,5468246;1654,21309
07/04/2020;1;7,263961687;43,71585546;82,2;522;22,05974404;13,23584642;1676,272834
07/04/2020;1;7,26421155;43,7158903;81,8;528;20,45145185;12,27087111;1696,724286
07/04/2020;1;7,264486239;43,71580673;81,4;534;23,95249739;14,37149844;1720,676783
07/04/2020;1;7,264697687;43,71570203;81,1;540;20,59942839;12,35965703;1741,276211
07/04/2020;1;7,264926153;43,71563557;80,8;546;19,79304204;11,87582522;1761,069253
07/04/2020;1;7,265169765;43,71559918;80,5;552;19,99239102;11,99543461;1781,061644
07/04/2020;1;7,265415453;43,71557694;80,2;558;19,90021388;11,94012833;1800,961858
07/04/2020;1;7,265657887;43,71552987;79,9;564;20,17481183;12,1048871;1821,13667
07/04/2020;1;7,265745366;43,71537421;79,5;570;18,68176151;11,2090569;1839,818432
07/04/2020;1;7,26569006;43,71516346;79,2;576;23,85200949;14,31120569;1863,670441
07/04/2020;1;7,265622182;43,71501672;78,8;582;17,20451825;10,32271095;1880,874959
07/04/2020;1;7,265529168;43,71474705;78,5;588;30,90373622;18,54224173;1911,778696
07/04/2020;1;7,265466476;43,71454362;78,1;594;23,17471546;13,90482927;1934,953411
07/04/2020;1;7,265437097;43,71436103;77,7;600;20,43999075;12,26399445;1955,393402
07/04/2020;1;7,265442716;43,71415336;77,4;606;23,0960235;13,8576141;1978,489425
